镜头编号,时长秒,源片秒,时间线,对白起秒,对白止秒,尾部停留秒,说话者,声音配置,场次,景别,机位,画面,动作,对白或旁白,图片提示词,视频提示词,连续性引用
"第015集-镜头001","6.2","10","0.0-6.2","0.30","5.75","0.45","小耗儿","VO-XH-01","场景-015-001｜玄关开场","中近景","固定正面","暖色夜晚玄关，小耗儿正面居中看镜头","只缓慢眨眼一次","以前被冒犯，我总忍着，回家再内耗。后来明白了，有些话最好当场说清楚。","永久母版+正面视图；同一玄关；无字；详见图片提示词01","只允许小耗儿说指定对白；0.30-5.75开口；自然收口0.45秒；详见视频提示词01","角色-001;场景-015-001;角度-正面"
"第015集-镜头002","4.3","6","6.2-10.5","0.30","3.85","0.45","打印机同事","VO-015-NPC-01","场景-015-002｜打印区","中景","固定正打","女同事居左朝右，白色打印机在右后方","只用一只手指打印机一次","这打印机刚刚还好好的，怎么到你这就死机了？","原创女同事+打印区；无小耗儿；无字；详见图片提示词02","只允许同事说指定对白；0.30-3.85开口；自然收口0.45秒","角色-015-002;场景-015-002;道具-015-001"
"第015集-镜头003","4.1","6","10.5-14.6","0.30","3.65","0.45","小耗儿","VO-XH-01","场景-015-002｜打印区","中近景","固定反打","小耗儿居右朝左3/4，打印机边缘在左后方","只用一只短手轻敲打印机一下","可能这老东西跟你一样，就喜欢欺负新来的","永久母版+左3/4视图+镜头002场景；无字；详见图片提示词03","只允许小耗儿说指定对白；0.30-3.65开口；自然收口0.45秒","角色-001;场景-015-002;道具-015-001;第015集-镜头002"
"第015集-镜头004","2.4","6","14.6-17.0","0.30","1.95","0.45","人身攻击者","VO-015-NPC-02","场景-015-003｜电梯前","中近景","固定正打","年轻男子居左朝右，电梯门在后方","只轻抬下巴一次","我发现你是真挺丑的","原创年轻男子+写字楼电梯；无小耗儿；无字；详见图片提示词04","只允许男子说指定对白；0.30-1.95开口；自然收口0.45秒","角色-015-003;场景-015-003"
"第015集-镜头005","3.0","6","17.0-20.0","0.30","2.55","0.45","小耗儿","VO-XH-01","场景-015-003｜电梯前","中近景","固定反打","小耗儿居右朝左3/4，冷白电梯灯光","只轻收窄眼皮","正常，丑东西看什么都觉得丑","永久母版+左3/4视图+镜头004场景；无字；详见图片提示词05","只允许小耗儿说指定对白；0.30-2.55开口；自然收口0.45秒","角色-001;场景-015-003;第015集-镜头004"
"第015集-镜头006","3.3","6","20.0-23.3","0.30","2.85","0.45","挑事小孩","VO-015-NPC-03","场景-015-004｜游乐场","中近景","固定正打","男孩居左朝右，蓝色滑梯和黄色护栏","只向前探身一点","你爸妈不要你喽，你爸妈来接你喽","原创男孩+游乐场；无小耗儿；无字；详见图片提示词06","只允许男孩说指定对白；0.30-2.85开口；自然收口0.45秒","角色-015-004;场景-015-004"
"第015集-镜头007","1.9","6","23.3-25.2","0.30","1.45","0.45","小耗儿","VO-XH-01","场景-015-004｜游乐场","中近景","固定反打","小耗儿居右朝左3/4，蓝色滑梯在右后方","只抬一只短手到胸前","你乱说什么呢？","永久母版+左3/4视图+镜头006场景；无字；详见图片提示词07","只允许小耗儿说指定对白；0.30-1.45开口；自然收口0.45秒","角色-001;场景-015-004;第015集-镜头006"
"第015集-镜头008","2.2","6","25.2-27.4","0.30","1.75","0.45","挑事小孩","VO-015-NPC-03","场景-015-004｜游乐场","中近景","固定正打复用","同一男孩、同一机位和服装","只耸肩一次","我不就开个玩笑吗？","复用镜头006男孩和场景；无字；详见图片提示词08","只允许男孩说指定对白；0.30-1.75开口；自然收口0.45秒","角色-015-004;场景-015-004;第015集-镜头006"
"第015集-镜头009","2.0","6","27.4-29.4","0.30","1.55","0.45","小耗儿","VO-XH-01","场景-015-004｜游乐场","中近景","固定反打复用","同一小耗儿机位，双手已贴回身体","只轻抬一侧眉毛","你看我们谁笑了？","永久母版+左3/4视图+镜头007场景；无字；详见图片提示词09","只允许小耗儿说指定对白；0.30-1.55开口；自然收口0.45秒","角色-001;场景-015-004;第015集-镜头007;第015集-镜头008"
"第015集-镜头010","3.0","6","29.4-32.4","0.30","2.55","0.45","催生亲戚","VO-015-NPC-04","场景-015-005｜节日餐桌","中近景","固定正打","中年女亲戚居左朝右，红桌布、果盘和茶杯","只用食指轻点桌面一次","你也争点气，下一胎生个儿子","原创中年女亲戚+节日餐桌；无小耗儿；无字；详见图片提示词10","只允许亲戚说指定对白；0.30-2.55开口；自然收口0.45秒","角色-015-005;场景-015-005"
"第015集-镜头011","2.8","6","32.4-35.2","0.30","2.35","0.45","小耗儿","VO-XH-01","场景-015-005｜节日餐桌","中近景","固定反打","小耗儿居右朝左3/4，餐桌下缘可见","只轻轻歪头","那你是哪个不争气的生的？","永久母版+左3/4视图+镜头010场景；无字；详见图片提示词11","只允许小耗儿说指定对白；0.30-2.35开口；自然收口0.45秒","角色-001;场景-015-005;第015集-镜头010"
"第015集-镜头012","5.5","6","35.2-40.7","0.30","5.05","0.45","PUA长辈","VO-015-NPC-05","场景-015-006｜老式客厅","中近景","固定正打","年长女性居左朝右，木柜与保温杯在后方","只向外摆手一次","我们那时候生完孩子就下地干活了，哪像现在的人金贵得很","原创年长女性+老式客厅；无小耗儿；无字；详见图片提示词12","只允许长辈说指定对白；0.30-5.05开口；自然收口0.45秒","角色-015-006;场景-015-006"
"第015集-镜头013","4.3","6","40.7-45.0","0.30","3.85","0.45","小耗儿","VO-XH-01","场景-015-006｜老式客厅","中近景","固定反打","小耗儿居右朝左3/4，木柜在右后方","只缓慢点头一次","那你可真挺惨的，牲口干完活都知道休息几天","永久母版+左3/4视图+镜头012场景；无字；详见图片提示词13","只允许小耗儿说指定对白；0.30-3.85开口；自然收口0.45秒","角色-001;场景-015-006;第015集-镜头012"
"第015集-镜头014","3.1","6","45.0-48.1","0.30","2.65","0.45","同名邻居","VO-015-NPC-06","场景-015-007｜公寓电梯厅","中景","固定正打","女邻居居左朝右，红牵引绳和安静灰狗在左下","只略抬牵引绳一次","你家孩子怎么跟我家狗一个名？","原创女邻居+灰狗+电梯厅；无小耗儿；无字；详见图片提示词14","只允许邻居说指定对白；狗闭嘴；0.30-2.65开口；自然收口0.45秒","角色-015-007;场景-015-007;道具-015-002"
"第015集-镜头015","6.6","10","48.1-54.7","0.30","6.15","0.45","小耗儿","VO-XH-01","场景-015-007｜公寓电梯厅","中近景","固定反打","小耗儿居右朝左3/4，银色电梯门在后方","只缓慢向上翻眼一次","巧了，我老家也有个人跟你同名，坟头草都老高了，不看见你我都忘了这人了","永久母版+左3/4视图+镜头014场景；无恐怖画面；无字；详见图片提示词15","只允许小耗儿说指定对白；0.30-6.15开口；自然收口0.45秒","角色-001;场景-015-007;第015集-镜头014"
"第015集-镜头016","2.8","6","54.7-57.5","0.30","2.35","0.45","公司同事","VO-015-NPC-07","场景-015-008｜开放办公室","中近景","固定正打","男同事居左朝右，白衬衫与暗红领带","只摊开一只手掌一次","怎么你一来公司就不行了？","原创男同事+开放办公室；无小耗儿；无字；详见图片提示词16","只允许同事说指定对白；0.30-2.35开口；自然收口0.45秒","角色-015-008;场景-015-008"
"第015集-镜头017","4.9","6","57.5-62.4","0.30","4.45","0.45","小耗儿","VO-XH-01","场景-015-008｜开放办公室","中近景","固定反打","小耗儿居右朝左3/4，合上的笔记本电脑在前方","只把一只短手轻放电脑上","那明天我去你家一趟，看看叔叔阿姨是不是也不行了","永久母版+左3/4视图+镜头016场景；无字；详见图片提示词17","只允许小耗儿说指定对白；0.30-4.45开口；自然收口0.45秒","角色-001;场景-015-008;第015集-镜头016"
"第015集-镜头018","6.4","10","62.4-68.8","0.30","5.95","0.45","小耗儿","VO-XH-01","场景-015-001｜玄关收束","中近景","固定正面复用","回到镜头001同一玄关和人物比例","只抬一只短手做平静停止手势","不是为了吵赢，是不再把委屈留给自己。成年人的底气是敢翻脸，你越界了。","永久母版+正面视图+镜头001场景；无字；详见图片提示词18","只允许小耗儿说指定对白；0.30-5.95开口；自然收口0.45秒","角色-001;场景-015-001;第015集-镜头001"
