镜头编号,时长秒,场次,景别,机位,画面,动作,对白或旁白,图片提示词,视频提示词,连续性引用
"第013集-镜头001","1.6","场次013-01｜红底钩子","极近景","固定正面机位；震动仅后期添加","纯红漫画冲击背景中，小耗儿的脸和上半身占满中央安全区，眉眼凶但身体不变形","小耗儿身体保持固定，只把眉眼向下压紧一次并完成无牙口型","小耗儿（VO-XH-01）：你没家啊？！","竖屏9:16，原创Q版二维手绘动画；以永久母版为唯一身份与结构参考，纯红背景、极近景、粗黑线和平涂赛璐璐阴影；保留单一白色蛋形身体、灰色电阻区、白色锯齿纹、蓝色电路纹、黄色闪电和蓝色电脉冲；无文字、数字、Logo、水印、牙齿、长腿或额外肢体","动作强收紧：源素材可生成2.5—3秒，成片只取1.6秒；固定机位，身体位置不变，只把眉眼向下压紧一次并完成自然口型。输出必须是有声视频，不接受静音；只允许小耗儿说指定中文台词，声音严格复用VO-XH-01：普通话青年男声，中低音、近讲干声、略疲惫但清醒、冷静利落，全部参数与参考音频固定。禁止第二人声、改词、抢话、前倾、夸张变形、自动字幕和任何BGM；惊雷与画面震动统一后期加","角色-001;场景-013-01"
"第013集-镜头002","0.6","场次013-02｜高光快切A","中近景","固定正面机位","青蓝几何背景中，小欧位于中央，保持首帧歪头，手掌朝画外右侧","小欧保持首帧歪头角度，只用一只短手做一次向外回推动作","小欧（VO-XO-01）：亏给你。","竖屏9:16，原创Q版二维手绘动画；小欧为天蓝圆角插头形单一身体、两枚短扁银灰插脚、白色脸板、黄色小领巾、深蓝短手短脚；青蓝几何背景，粗黑线、平涂；无动物特征、文字、数字、Logo或水印","动作强收紧：源素材可生成2.5秒，成片只取0.6秒；固定机位，头部角度不变，只完成一次短促回推和自然口型。输出必须是有声视频，不接受静音；只允许小欧说指定中文台词，声音严格复用VO-XO-01：普通话年轻中性声，略高、机灵、带一点笑意但不尖细，全部参数与参考音频固定。禁止新增角色、第二人声、改词、二次歪头、动物化、自动字幕和任何BGM；咔哒声统一后期加","角色-013-002;场景-013-02"
"第013集-镜头003","0.6","场次013-02｜高光快切B","中近景","固定正面机位","紫灰几何背景中，小伏居中直视镜头，双手自然垂下","小伏只抬眼，身体与表情保持平静","小伏（VO-XF-01）：合理吗？","竖屏9:16，原创Q版二维手绘动画；小伏为珊瑚橙拱形电表单一身体、奶油脸板、深洋红指针图案、薄荷绿围巾、左右各一枚半圆旋钮、短手短脚；紫灰几何背景，粗黑线、平涂；无动物特征、文字、数字、Logo或水印","动作强收紧：源素材可生成2.5秒，成片只取0.6秒；固定机位，仅一次小幅抬眼和最小自然口型。输出必须是有声视频，不接受静音；只允许小伏说指定中文台词，声音严格复用VO-XF-01：普通话年轻中性声，略低、平直、面无表情、气声少，全部参数与参考音频固定。禁止第二人声、改词、夸张表情、自动字幕和任何BGM；咔哒声统一后期加","角色-013-003;场景-013-02"
"第013集-镜头004","0.8","场次013-02｜高光快切C","中近景","固定略低正面机位","橙红图形背景和木桌前，小耗儿一只短手已经落在桌面，抬眼直视","手掌保持在桌面，只做抬眼和一次短句口型","小耗儿（VO-XH-01）：凭什么？","竖屏9:16，原创Q版二维手绘动画；以永久母版锁定小耗儿，木桌、橙红图形背景，中近景；一只短手明确落桌、另一只手贴身；无文字、数字、Logo、水印、牙齿、额外手臂或身体变形","动作强收紧：源素材可生成2.5秒，成片只取0.8秒；拍桌动作从已落桌状态开始，不再重复挥臂，只抬眼并说一句。输出必须是有声视频，不接受静音；只允许小耗儿说指定中文台词，声音严格复用VO-XH-01：普通话青年男声，中低音、近讲干声、略疲惫但清醒、冷静利落，全部参数与参考音频固定。禁止第二人声、改词、手臂增生、自动字幕和任何BGM；桌震和标题统一后期加","角色-001;场景-013-02"
"第013集-镜头005","0.7","场次013-03｜错餐建立","中景双人镜头","固定侧前机位","暖色餐厅木桌左侧是小耗儿，右侧店员已经放下明显不符的餐盘，绿色卡座和暖灯保持简洁","餐盘已经放稳；店员只做一次很小的耸肩，小耗儿低头看盘","无对白；仅极轻餐厅底噪","竖屏9:16，原创Q版二维手绘动画；永久母版小耗儿坐在木桌左侧，通用成年店员站右侧，单个错误餐盘、绿色卡座、暖色吊灯；恰好两名清晰角色；无菜单文字、数字、Logo、水印或多余人群","动作强收紧：源素材生成2.5—3秒，成片只取0.7秒；固定机位，餐盘已经放稳，仅店员做一次小耸肩，小耗儿只低头看盘。输出必须是有声视频，不接受静音；只生成连续低音量餐厅环境底噪，所有人物闭嘴且无对白。禁止餐盘撞击、人声、复杂走动、额外餐盘、自动字幕和任何BGM；餐盘落桌声后期添加","角色-001;场景-013-03"
"第013集-镜头006","1.8","场次013-03｜错餐回击","中近景双人镜头","沿用镜头005固定机位；最多数字推近3%","同一餐厅、店员、桌面和餐盘，小耗儿抬眼，店员停在原位闭嘴","小耗儿用一只短手把原餐盘向店员方向推一小段，随后停住","小耗儿（VO-XH-01）：那你付钱，我将就。","竖屏9:16，沿用镜头005的餐厅、机位、店员、木桌、餐盘、光线和角色比例；永久母版小耗儿只推原餐盘一小段；无新道具、文字、数字、Logo、水印、牙齿或额外肢体","动作强收紧：源素材生成3—4秒，成片只取1.8秒；只有原餐盘平移一小段和小耗儿一次自然口型，店员全程闭嘴静止。输出必须是有声视频，不接受静音；只允许小耗儿说指定中文台词，声音严格复用VO-XH-01：普通话青年男声，中低音、近讲干声、略疲惫但清醒、冷静利落，全部参数与参考音频固定；仅保留轻微连续餐厅底噪。禁止第二人声、改词、站起、自动字幕和任何BGM；盘底摩擦声与扎心叮声后期添加","角色-001;场景-013-03;第013集-镜头005"
"第013集-镜头007","0.7","场次013-04｜家长甩锅建立","中景三人层次镜头","固定正面略侧机位","家庭餐厅中，小耗儿位于中央且身上有少量蓝色水珠；右侧家长摊手，左后方孩子拿空蓝杯","家长只把已经摊开的手掌向上转动一次，孩子、小耗儿与水珠状态不变","无对白；仅极轻家庭餐厅底噪","竖屏9:16，原创Q版二维手绘动画；永久母版小耗儿保持完整电阻纹和头顶标志，仅增加少量干净蓝色水珠；通用家长在右、孩子在左后拿空蓝杯，浅木桌与米色墙；无动态泼水、文字、数字、Logo或水印","动作强收紧：源素材生成2.5—3秒，成片只取0.7秒；从泼水后状态开始，只允许家长把已摊开的手掌小幅向上转动一次。输出必须是有声视频，不接受静音；只生成连续低音量家庭餐厅环境底噪，三人全部闭嘴且无对白。禁止再次泼水、水滴动画、哭闹、第二动作、自动字幕和任何BGM；水滴声后期添加","角色-001;场景-013-04"
"第013集-镜头008","1.9","场次013-04｜家长甩锅回击","中近景","沿用镜头007固定机位；聚焦前景小欧","小欧在左前景，湿着的小耗儿仍在后方，家长保持右侧闭嘴，孩子持空杯静止","小欧轻翻一次白眼，用一只短手指向家长后立即停住","小欧（VO-XO-01）：他是孩子，所以你得负责。","竖屏9:16，沿用镜头007的家庭餐厅、家长、湿小耗儿、孩子、蓝杯、机位与光线；小欧严格沿用天蓝插头身体、白脸板、银灰插脚、黄领巾和深蓝短肢；无新增角色、文字、数字、Logo或水印","动作强收紧：源素材生成3—4秒，成片只取1.9秒；只有小欧一次轻微眼神上翻、一次短手指向和自然口型，其他人物全程闭嘴静止。输出必须是有声视频，不接受静音；只允许小欧说指定中文台词，声音严格复用VO-XO-01：普通话年轻中性声，略高、机灵、带一点笑意但不尖细，全部参数与参考音频固定；保留轻微餐厅底噪。禁止第二人声、改词、群体反应、自动字幕和任何BGM；轻噗嗤声后期加","角色-013-002;角色-001;场景-013-04;第013集-镜头007"
"第013集-镜头009","0.7","场次013-05｜理发推销建立","中景双人镜头","固定侧前机位","现代理发店里，小伏坐在灰色理发椅，理发师站在旁边展示两块无字色卡","理发师只把现有两块色卡同时向小伏倾斜一次，小伏保持平静","无对白；仅极轻理发店底噪","竖屏9:16，原创Q版二维手绘动画；严格锁定小伏珊瑚橙电表身体、奶油脸板、洋红指针、薄荷绿围巾与短肢；灰色理发椅、镜面、柔光、两块空白色卡；恰好两名清晰角色；无价格、文字、数字、Logo或水印","动作强收紧：源素材生成2.5—3秒，成片只取0.7秒；固定机位，仅两块现有色卡一起倾斜一次，理发师和小伏不走动。输出必须是有声视频，不接受静音；只生成连续低音量理发店环境底噪，两人都闭嘴且无对白。禁止销售口播、色卡摩擦声、价格词、复杂手势、自动字幕和任何BGM；色卡声音后期添加","角色-013-003;场景-013-05"
"第013集-镜头010","1.8","场次013-05｜理发推销回击","中近景","沿用镜头009固定机位；轻微收紧构图","小伏仍坐在同一灰色理发椅，理发师和两块无字色卡停在画面边缘","小伏只抬眼看理发师并说话，双手和身体不动","小伏（VO-XF-01）：伤头发，你还敢卖？","竖屏9:16，沿用镜头009的理发店、椅子、理发师、色卡、机位与光线；小伏身份、配色、旋钮和短肢完全不变，构图略紧；无价格、文字、数字、Logo、水印或新增道具","动作强收紧：源素材生成3—4秒，成片只取1.8秒；只有一次抬眼和最小自然口型，理发师闭嘴静止。输出必须是有声视频，不接受静音；只允许小伏说指定中文台词，声音严格复用VO-XF-01：普通话年轻中性声，略低、平直、面无表情、气声少，全部参数与参考音频固定；保留轻微理发店底噪。禁止第二人声、改词、夸张表情、自动字幕和任何BGM；低频重击后期加","角色-013-003;场景-013-05;第013集-镜头009"
