镜头编号,时长秒,场次,景别,机位,画面,动作,对白或旁白,图片提示词,视频提示词,连续性引用
"第014集-镜头001","0.8","场次014-01｜街头引子","中近景","固定正面机位","白天街头，只有小耗儿居中空手，上下留字幕区","小耗儿身体不动，只抬眼一次","小耗儿（VO-XH-01）：我妈说——","竖屏9:16，永久母版与正面角度参考，小耗儿白天城市街头，生无可恋，背景虚化，无文字Logo水印","固定机位，只抬眼一次并完成同步无牙口型；必须有VO-XH-01实际声音资产绑定和轻街头底噪；逐帧锁定身份；禁止第二人声、前倾、挥手、自动字幕BGM音效","角色-001;场景-014-01;角度-正面"
"第014集-镜头002","1.6","场次014-02｜童年闪回","中景","固定正面机位","暖黄客厅，小号同拓扑小耗儿与闭嘴母亲同框","画面只做一次极轻亮度呼吸，人物保持不动","小耗儿旁白（VO-XH-01）：外面没人惯着你。","竖屏9:16，童年闪回，小号同拓扑小耗儿，暖棕短发桃色外套母亲闭嘴指地，无文字Logo水印","固定机位，人物静止，仅极轻亮度呼吸；必须有VO-XH-01旁白和轻室内底噪；母亲与童年小耗儿全程闭嘴；禁止母亲人声、自动闪回字幕BGM音效","角色-001;角色-014-002;场景-014-02"
"第014集-镜头003","2.0","场次014-03｜面馆","中景双人","固定侧前机位","面馆窗口，小耗儿闭嘴看碗，老板用大勺倒入满碗牛肉","老板只把现有一勺牛肉倒入唯一白碗一次","NPC（VO-NPC-01）：没人惯你，肉加满！","竖屏9:16，永久母版小耗儿，白帽白围裙老板，一个白碗一个大勺，牛肉冒尖，无文字Logo水印","固定机位，只倒一次肉并完成NPC口型；必须有VO-NPC-01实际声音资产绑定和轻面馆底噪；小耗儿闭嘴静止；禁止第二动作、多碗、自动字幕BGM音效","角色-001;角色-014-NPC;场景-014-03;道具-014-01"
"第014集-镜头004","2.0","场次014-04｜便利店","中景双人","固定正面略侧机位","便利店老板把装满银灰圆片的厚透明袋放在柜台并推向小耗儿，小耗儿短手留在身体两侧","老板只把现有袋子沿柜台向前滑一小段一次","NPC（VO-NPC-01）：没人惯你，零钱拿好！","竖屏9:16，永久母版与正面角度参考，小耗儿短手贴身，绿色无标志围裙老板，一袋无符号银灰圆片，无文字Logo水印","固定机位，只滑袋一次并完成NPC口型；必须有同一VO-NPC-01实际声音资产和轻便利店底噪；小耗儿闭嘴静止且短手不伸长；禁止货币符号、袋子复制、自动字幕BGM音效","角色-001;角色-014-NPC;场景-014-04;道具-014-02;角度-正面"
"第014集-镜头005","2.0","场次014-05｜奶茶店","中景双人","固定侧前机位","奶茶窗口，店员把一勺金黄布丁倒入接近满杯的无字透明杯","店员只倒一勺布丁一次","NPC（VO-NPC-01）：没人惯你，布丁加满！","竖屏9:16，永久母版小耗儿，黄色帽浅褐围裙店员，一个无字杯一个勺，布丁接近杯口，无文字Logo水印","固定机位，只倒一勺并完成NPC口型；必须复用同一VO-NPC-01实际声音资产和轻店内底噪；小耗儿闭嘴；禁止杯子复制、飞溅、自动字幕BGM音效","角色-001;角色-014-NPC;场景-014-05;道具-014-03"
"第014集-镜头006","2.0","场次014-06｜住宅门口","中景双人","固定门内侧机位","外卖员把第三个无字箱放到两个箱旁，旁边一个无字外卖纸袋，小耗儿站门内","外卖员只把第三个箱子向下放稳一次","NPC（VO-NPC-01）：没人惯你，全送上门！","竖屏9:16，永久母版小耗儿，无品牌蓝外套头盔外卖员，三个纸箱一个纸袋，无面单文字Logo水印","固定机位，只放第三个箱一次并完成NPC口型；必须复用同一VO-NPC-01实际声音资产和轻走廊底噪；小耗儿闭嘴；禁止走路、更多包裹、自动字幕BGM音效","角色-001;角色-014-NPC;场景-014-06;道具-014-04"
"第014集-镜头007","2.0","场次014-07｜办公室","中景双人","固定侧前机位","亮灯办公室，小耗儿坐无字电脑前，老板手在唯一墙面开关上","老板只把开关向下拨一次","NPC（VO-NPC-01）：没人惯你，准点下班！","竖屏9:16，永久母版小耗儿，深蓝衬衫老板，一个墙面开关，无字电脑，无文字Logo水印","固定机位，只拨一次开关并完成NPC口型；必须复用同一VO-NPC-01实际声音资产和轻办公室底噪；小耗儿闭嘴；禁止拉人锁门走动、自动字幕BGM音效，关灯后期完成","角色-001;角色-014-NPC;场景-014-07;道具-014-05"
"第014集-镜头008","2.0","场次014-08｜理发店","中景双人","固定柜台侧前机位","理发师把唯一无字黑金卡沿桌面滑向小耗儿，剪刀静止在桌面远侧","理发师只把卡片平滑推出一次","NPC（VO-NPC-01）：没人惯你，黑卡免费！","竖屏9:16，永久母版小耗儿，黑围裙理发师，一张无字黑金卡，一把静止剪刀，无文字Logo水印","固定机位，只滑卡一次并完成NPC口型；必须复用同一VO-NPC-01实际声音资产和轻理发店底噪；小耗儿闭嘴；禁止拍桌、飞卡、自动字幕BGM音效","角色-001;角色-014-NPC;场景-014-08;道具-014-06"
"第014集-镜头009","2.0","场次014-09｜街边回报","中景偏全身","固定正面机位","只有小耗儿被福利围住：牛肉碗放在一个箱上，零钱袋与布丁杯放在另两个箱上，黑卡靠在前箱，三只箱恰好都在脚边，角色全身与脸清楚","小耗儿短手贴身，只让半垂眼向上弯一点","小耗儿（VO-XH-01）：这诅咒，真让人头疼。","竖屏9:16，永久母版与正面角度参考，小耗儿短手短腿完整，固定六类福利道具，皱眉暗爽，无文字Logo水印","固定机位，道具身体不动，只让眼睛轻弯并完成同步口型；必须复用VO-XH-01实际声音资产和轻街头底噪；禁止长手、道具复制掉落、挥手、自动字幕BGM音效","角色-001;场景-014-09;道具-014-01;道具-014-02;道具-014-03;道具-014-04;道具-014-06;角度-正面"
"第014集-镜头010","4.0","场次014-10｜互动收尾","中近景","固定正面机位","纯亮黄背景，只有小耗儿，首帧已经摆V手，另一手叉腰，上下留字幕区","小耗儿只眨眼一次","小耗儿（VO-XH-01）：点赞留言，也会中同款哦。","竖屏9:16，永久母版小耗儿，亮黄背景，首帧V手，无爱心文字Logo水印","固定机位，V手和身体不动，只眨眼一次并完成同步口型；必须复用VO-XH-01实际声音资产，允许极轻录音室底噪；禁止第二动作、爱心、自动字幕BGM音效","角色-001;场景-014-10"
