镜头编号,时长秒,场次,景别,机位,画面,动作,对白或旁白,图片提示词,视频提示词,连续性引用
"第014集-镜头001","6.4","场次014-v2-01｜街头引子","中近景","固定正面","白天街头小耗儿居中；童年闪回只作后期叠加","只无奈摊开一次短手","小耗儿：我就像被我老娘诅咒了一样，长大后真的没人惯着我，要啥不给啥，不要啥偏给我啥。","永久母版+正面视图；街头小耗儿；上下留字幕区；无字","只允许小耗儿开口和一次小幅摊短手；固定VO-XH-01；轻街头底噪","角色-001;场景-014-v2-01;角度-正面"
"第014集-镜头002","1.6","场次014-v2-02｜面馆请求","近景正打","固定正面略侧","小耗儿在面馆柜台外，唯一白碗为动作前状态","只抬一只短手示意一次","小耗儿：老板，牛肉面不要肉。","永久母版+正面视图+v1面馆图；小耗儿为主体；老板闭嘴虚化","只允许小耗儿开口；老板闭嘴；无倒肉动作","角色-001;角色-014-NPC;场景-014-v2-02;道具-014-01"
"第014集-镜头003","2.6","场次014-v2-02｜面馆回应","近景反打","固定侧前","老板为主体，小耗儿在前景边缘闭嘴","老板只把一勺牛肉倒入同一白碗一次","老板：没人惯着你挑三拣四！全给我吃！","引用镜头002状态；老板、大勺、同一白碗；小耗儿闭嘴","只允许老板开口和倒肉一次；固定VO-NPC-01","角色-001;角色-014-NPC;场景-014-v2-02;道具-014-01;第014集-镜头002"
"第014集-镜头004","1.0","场次014-v2-03｜便利店请求","近景正打","固定正面略侧","小耗儿在便利店柜台外，零钱袋留在老板一侧","只摆短手拒绝一次","小耗儿：不用找零了。","永久母版+正面视图+v1便利店图；小耗儿为主体","只允许小耗儿开口；老板闭嘴；零钱袋不动","角色-001;角色-014-NPC;场景-014-v2-03;道具-014-02"
"第014集-镜头005","2.2","场次014-v2-03｜便利店回应","近景反打","固定侧前","老板为主体，小耗儿在对面边缘闭嘴","老板只把同一零钱袋滑近一次","老板：没人惯着你占小便宜！拿着！","引用镜头004状态；同一柜台、袋和银灰圆片","只允许老板开口和滑袋一次；固定VO-NPC-01","角色-001;角色-014-NPC;场景-014-v2-03;道具-014-02;第014集-镜头004"
"第014集-镜头006","1.4","场次014-v2-04｜奶茶请求","近景正打","固定正面略侧","小耗儿在奶茶窗口，透明杯无布丁","只轻轻摇头一次","小耗儿：奶茶不要加布丁。","永久母版+正面视图+v1奶茶图；小耗儿为主体","只允许小耗儿开口和轻摇头；店员闭嘴；杯和勺不动","角色-001;角色-014-NPC;场景-014-v2-04;道具-014-03"
"第014集-镜头007","2.2","场次014-v2-04｜奶茶回应","近景反打","固定侧前","店员为主体，小耗儿闭嘴看杯","店员只把一勺布丁倒入同一杯一次","店员：没人惯着你喝寡茶！全加上！","引用镜头006状态；同一杯和勺；布丁动作后接近杯口","只允许店员开口和倒布丁一次；固定VO-NPC-01","角色-001;角色-014-NPC;场景-014-v2-04;道具-014-03;第014集-镜头006"
"第014集-镜头008","2.4","场次014-v2-05｜家门口请求","近景正打","固定门内侧","小耗儿站门内，门外已有两个箱和一个纸袋","只向门外摆短手一次","小耗儿：外卖不用送上来，放驿站就行。","永久母版+正面视图+v1送货图；小耗儿为主体","只允许小耗儿开口和摆短手；外卖员闭嘴；包裹不动","角色-001;角色-014-NPC;场景-014-v2-05;道具-014-04"
"第014集-镜头009","2.8","场次014-v2-05｜家门口回应","近景反打","固定走廊侧前","外卖员为主体，小耗儿在门内闭嘴","外卖员只把第三个箱放稳一次","外卖员：没人惯着你跑驿站！全给你送上来！","引用镜头008状态；同一门口、两个旧箱和第三箱","只允许外卖员开口和放箱一次；固定VO-NPC-01","角色-001;角色-014-NPC;场景-014-v2-05;道具-014-04;第014集-镜头008"
"第014集-镜头010","1.6","场次014-v2-06｜办公室请求","近景正打","固定正面略侧","小耗儿坐无字电脑前，灯亮","只敲一下键盘","小耗儿：我再改完这版就走……","永久母版+正面视图+v1办公室图；小耗儿为主体","只允许小耗儿开口和一次轻敲；老板闭嘴；灯保持亮","角色-001;角色-014-NPC;场景-014-v2-06;道具-014-05"
"第014集-镜头011","2.6","场次014-v2-06｜办公室回应","近景反打","固定侧前","老板在唯一墙面开关旁，小耗儿在背景闭嘴","老板只向下拨一次开关","老板：没人惯着你蹭加班！全给我下班！","引用镜头010状态；同一办公室和开关","只允许老板开口和拨开关一次；固定VO-NPC-01；关灯后期做","角色-001;角色-014-NPC;场景-014-v2-06;道具-014-05;第014集-镜头010"
"第014集-镜头012","1.2","场次014-v2-07｜理发店请求","近景正打","固定柜台正面略侧","小耗儿在理发店柜台前，黑金卡留在理发师一侧","只把短手靠近柜台一次","小耗儿：我想充个会员。","永久母版+正面视图+v1理发店图；小耗儿为主体","只允许小耗儿开口和短手小移；理发师闭嘴；卡片不动","角色-001;角色-014-NPC;场景-014-v2-07;道具-014-06"
"第014集-镜头013","4.0","场次014-v2-07｜理发店回应","近景反打","固定柜台侧前","理发师为主体，小耗儿在对面闭嘴","理发师只把同一黑金卡滑向小耗儿一次","理发师：没人惯着你乱花钱！黑金卡拿好，以后剪头全免费！","引用镜头012状态；同一柜台和卡；剪刀静止","只允许理发师开口和滑卡一次；固定VO-NPC-01","角色-001;角色-014-NPC;场景-014-v2-07;道具-014-06;第014集-镜头012"
"第014集-镜头014","2.0","场次014-v2-08｜终极懵圈","中景偏全身","固定正面","小耗儿被固定福利道具围住，脸和机体完整可见","只眨眼一次","小耗儿：我怎么觉得……不太对呢？","永久母版+正面视图+v1福利汇总图；固定道具数量；无字","只允许小耗儿开口和眨眼一次；固定VO-XH-01；道具静止","角色-001;场景-014-v2-08;道具-014-01;道具-014-02;道具-014-03;道具-014-04;道具-014-06"
"第014集-镜头015","3.4","场次014-v2-09｜互动收尾","中近景","固定正面","亮黄背景只有小耗儿，上下留文字区","只用一只短手挠头一次并憋笑","无对白","永久母版+正面视图+v1亮黄收尾图；无文字爱心Logo","全程闭嘴；仅极轻录音室底噪；一次挠头；BGM和文字后期加","角色-001;场景-014-v2-09"
