镜头编号,时长秒,场次,景别,机位,关键帧,画面与唯一动作,对白或声音,声音配置,连续性引用
"第013集-镜头001","1.6","红底钩子","极近景","固定正面","01-hook-xiaohao-closeup.png","小耗儿只压眉一次并完成无牙口型","你没家啊？！","VO-XH-01","角色-001;场景-01"
"第013集-镜头002","0.6","高光快切A","中近景","固定正面","02-fastcut-xiaohao-pushback.png","小耗儿用一只短手向画外回推一次","亏给你。","VO-XH-01","角色-001;场景-02A"
"第013集-镜头003","0.6","高光快切B","中近景","固定正面","03-fastcut-xiaohao-deadpan.png","小耗儿保持平静直视，只完成口型","合理吗？","VO-XH-01","角色-001;场景-02B"
"第013集-镜头004","0.8","高光快切C","中近景","固定略低正面","04-fastcut-xiaohao-table.png","一只短手已落桌，小耗儿只抬眼一次","凭什么？","VO-XH-01","角色-001;场景-02C"
"第013集-镜头005","0.7","错餐建立","中景","固定正面","05-restaurant-wrong-order.png","餐盘已放稳，店员只小幅耸肩一次","连续极轻餐厅底噪；全员闭嘴","不调用","角色-001;场景-03"
"第013集-镜头006","1.8","错餐回击","中景","固定正面","06-restaurant-comeback.png","小耗儿把同一餐盘向店员推一小段","那你付钱，我将就。","VO-XH-01","角色-001;场景-03;镜头005"
"第013集-镜头007","0.7","家长甩锅建立","中景","固定正面","07-spill-parent-dismissive.png","湿身小耗儿静止，成人只摊手一次，孩子持空杯","连续极轻家庭餐厅底噪；全员闭嘴","不调用","角色-001湿身;场景-04"
"第013集-镜头008","1.9","家长甩锅回击","中近景","固定正面","08-spill-xiaohao-reply.png","唯一湿身小耗儿在前景指向成人一次","他是孩子，所以你得负责。","VO-XH-01","角色-001湿身;场景-04;镜头007"
"第013集-镜头009","0.7","理发推销建立","中景","固定正面","09-salon-upsell-xiaohao.png","小耗儿坐椅不动，理发师只展示两块无字色卡","连续极轻理发店底噪；全员闭嘴","不调用","角色-001;场景-05"
"第013集-镜头010","1.8","理发推销回击","中近景","固定正面","10-salon-xiaohao-reply.png","同一小耗儿坐在原位，只抬眼一次","伤头发，你还敢卖？","VO-XH-01","角色-001;场景-05;镜头009"
"第013集-镜头011","0.7","插队建立","中景","固定正面","11-queue-cutter.png","插队者只越过地面线一步，随后停住","连续极轻商场底噪；全员闭嘴","不调用","角色-001;场景-06"
"第013集-镜头012","1.9","插队回击","中近景","固定正面","12-queue-xiaohao-reply.png","小耗儿不越线，只把短手指向队尾一次","没人说，也不代表你能插队。","VO-XH-01","角色-001;场景-06;镜头011"
"第013集-镜头013","0.7","服装店建立","中景","固定正面","13-boutique-snub.png","店员只用目光上下扫一次，小耗儿看无字吊牌","连续极轻服装店底噪；全员闭嘴","不调用","角色-001;场景-07"
"第013集-镜头014","1.9","服装店回击","中近景","固定正面","14-boutique-xiaohao-reply.png","小耗儿保持原地直视店员并完成口型","衣服贵，态度别更贵。","VO-XH-01","角色-001;场景-07;镜头013"
"第013集-镜头015","0.7","私教推销建立","中景","固定正面","15-gym-upsell.png","私教只轻点空白课程板一次，小耗儿不动","连续极轻健身房底噪；全员闭嘴","不调用","角色-001;场景-08"
"第013集-镜头016","1.9","私教回击","中近景","固定正面","16-gym-xiaohao-reply.png","小耗儿的视线只从训练凳移向私教一次","先讲哪练错，别只推课。","VO-XH-01","角色-001;场景-08;镜头015"
"第013集-镜头017","3.0","结尾点题","中景","固定正面","17-outro-xiaohao.png","亮黄背景中只有一个小耗儿居中叉腰并完成无牙口型","外耗不是伤人，是把问题还回去。","VO-XH-01","角色-001少量水滴;场景-09"
